Product_Id,Fixed_Unit_Price,Category_Id,Launch_Date
1355,25125.0,2005,2020-05-01
1356,13392.0,2018,2020-06-01
1357,5440.0,2002,2020-06-01
1358,2320.0,2011,2020-06-01
1359,3600.0,2004,2020-06-01
1360,20625.0,2024,2020-06-01
1361,39323.0,2023,2020-06-01
1362,883.5,2054,2020-06-01
1362,883.5,2003,2020-06-01
1363,1900.0,2007,2020-06-01
1363,1900.0,2048,2020-06-01
1364,1206.0,2007,2020-06-01
1365,2205.0,2005,2020-06-01
1366,2721.6,2005,2020-06-01
1367,1161.0,2005,2020-06-01
1368,22819.0,2033,2020-06-01
1368,22819.0,2014,2020-06-01
1369,4680.0,2005,2020-06-01
1370,7875.0,2019,2020-06-01
1371,890.0,2005,2020-06-01
1372,89850.0,2023,2020-06-01
1373,9516.0,2013,2020-06-01
1374,14312.0,2013,2020-06-01
1374,14312.0,2033,2020-06-01
1375,50575.0,2020,2020-06-01
1376,22965.0,2021,2020-06-01
1377,11800.0,2005,2020-06-01
1378,1079.5,2005,2020-06-01
1378,1079.5,2048,2020-06-01
1379,44000.0,2020,2020-06-01
1380,63017.0,2014,2020-06-01
1381,1705.0,2005,2020-06-01
1382,1854.0,2005,2020-06-01
1383,24383.0,2033,2020-06-01
1383,24383.0,2014,2020-06-01
1384,5190.0,2005,2020-06-01
1385,138556.0,2014,2020-06-01
1385,138556.0,2055,2020-06-01
1386,10781.25,2013,2020-06-01
1387,741.0,2054,2020-06-01
1387,741.0,2003,2020-06-01
1388,6930.0,2019,2020-06-01
1389,7920.0,2015,2020-06-01
1390,4400.0,2005,2020-06-01
1391,5475.0,2020,2020-06-01
1392,5475.0,2020,2020-06-01
1393,4275.0,2020,2020-06-01
1394,1600.0,2011,2020-06-01
1394,1600.0,2049,2020-06-01
1395,9960.0,2026,2020-06-01
1396,12000.0,2026,2020-06-01
1397,4268.0,2049,2020-06-01
1397,4268.0,2002,2020-06-01
1398,2480.0,2048,2020-06-01
1398,2480.0,2005,2020-06-01
1399,2629.0,2048,2020-06-01
1399,2629.0,2005,2020-06-01
1400,2892.0,2007,2020-06-01
1400,2892.0,2048,2020-06-01
1401,78480.0,2020,2020-06-01
1402,1856.0,2011,2020-06-01
1402,1856.0,2049,2020-06-01
1403,2455.0,2048,2020-06-01
1403,2455.0,2005,2020-06-01
1404,29403.0,2023,2020-06-01
1405,2552.0,2048,2020-06-01
1405,2552.0,2005,2020-06-01
1406,1020.0,2003,2020-06-01
1407,989.6,2003,2020-06-01
1408,30057.0,2013,2020-06-01
1409,36896.0,2013,2020-06-01
1409,36896.0,2033,2020-06-01
1410,31515.0,2023,2020-06-01
1410,31515.0,2046,2020-06-01
1411,31980.0,2023,2020-06-01
1412,26571.0,2023,2020-06-01
1413,29102.0,2023,2020-06-01
1413,29102.0,2046,2020-06-01
1414,7362.0,2019,2020-06-01
1414,7362.0,2047,2020-06-01
1415,11500.0,2005,2020-06-01
1416,11520.0,2019,2020-06-01
1417,643.0,2001,2020-06-01
1418,643.0,2058,2020-06-01
1418,643.0,2001,2020-06-01
1419,53625.0,2023,2020-06-01
1420,3023.2,2011,2020-06-01
1421,17550.0,2018,2020-06-01
1422,18900.0,2018,2020-06-01
1423,20250.0,2015,2020-06-01
1424,17508.0,2015,2020-06-01
1424,17508.0,2046,2020-06-01
1425,6760.0,2027,2020-06-01
1426,3300.0,2048,2020-06-01
1426,3300.0,2005,2020-06-01
1427,3675.0,2012,2020-06-01
1428,2025.0,2001,2020-06-01
1429,2475.0,2011,2020-06-01
1430,225.0,2024,2020-06-01
1431,13500.0,2020,2020-06-01
1432,2475.0,2011,2020-06-01
1433,2160.0,2011,2020-06-01
1434,1976.0,2004,2020-06-01
1434,1976.0,2049,2020-06-01
1435,8437.5,2005,2020-06-01
1436,4290.0,2005,2020-06-01
1436,4290.0,2048,2020-06-01
1437,1101.0,2005,2020-06-01
1438,11710.0,2021,2020-06-01
1439,8640.0,2019,2020-06-01
1439,8640.0,2047,2020-06-01
1440,6340.0,2019,2020-06-01
1440,6340.0,2047,2020-06-01
1441,1860.0,2048,2020-06-01
1441,1860.0,2007,2020-06-01
1442,4400.0,2049,2020-06-01
1442,4400.0,2004,2020-06-01
1443,3360.0,2049,2020-06-01
1443,3360.0,2004,2020-06-01
1444,2652.0,2049,2020-06-01
1444,2652.0,2002,2020-06-01
1445,5059.0,2016,2020-06-01
1445,5059.0,2049,2020-06-01
1446,1566.4,2011,2020-06-01
1447,1597.6,2049,2020-06-01
1447,1597.6,2011,2020-06-01
1448,2552.0,2011,2020-06-01
1449,3072.0,2049,2020-06-01
1449,3072.0,2011,2020-06-01
1450,4094.4,2011,2020-06-01
1451,176.0,2049,2020-06-01
1451,176.0,2009,2020-06-01
1452,1205.6,2049,2020-06-01
1452,1205.6,2009,2020-06-01
1453,3280.0,2004,2020-06-01
1454,5550.0,2002,2020-06-01
1455,14625.0,2016,2020-06-01
1456,38250.0,2028,2020-06-01
1457,20800.0,2018,2020-06-01
1458,11920.0,2018,2020-06-01
1459,1120.0,2003,2020-06-01
1460,984.0,2003,2020-06-01
1461,2640.0,2011,2020-06-01
1462,15296.0,2029,2020-06-01
1463,2028.0,2011,2020-06-01
1464,4425.0,2011,2020-06-01
1465,4640.0,2011,2020-06-01
1466,5475.0,2011,2020-06-01
1467,4664.0,2004,2020-06-01
1468,4640.0,2002,2020-06-01
1469,2444.0,2011,2020-06-01
1470,2560.0,2011,2020-06-01
1471,1600.0,2011,2020-06-01
1472,1976.0,2004,2020-06-01
1473,1712.0,2011,2020-06-01
1474,1456.0,2011,2020-06-01
1475,1600.0,2011,2020-06-01
1476,2400.0,2011,2020-06-01
1477,1600.0,2011,2020-06-01
1477,1600.0,2049,2020-06-01
1478,1300.0,2011,2020-06-01
1479,1208.0,2003,2020-06-01
1480,1048.0,2003,2020-06-01
1481,6868.0,2019,2020-06-01
1481,6868.0,2047,2020-06-01
1482,14664.0,2019,2020-06-01
1483,12763.5,2019,2020-06-01
1484,6985.0,2019,2020-06-01
1485,4953.0,2030,2020-06-01
1486,6032.5,2019,2020-06-01
1487,4290.0,2005,2020-06-01
1487,4290.0,2048,2020-06-01
1488,5148.0,2007,2020-06-01
1488,5148.0,2048,2020-06-01
1489,4318.0,2030,2020-06-01
1490,4572.0,2030,2020-06-01
1491,5080.0,2031,2020-06-01
1492,5334.0,2031,2020-06-01
1493,5969.0,2019,2020-06-01
1494,6985.0,2019,2020-06-01
1495,6985.0,2019,2020-06-01
1496,10731.5,2019,2020-06-01
1497,10731.5,2019,2020-06-01
1498,10731.5,2019,2020-06-01
1499,8191.5,2019,2020-06-01
1500,14097.0,2019,2020-06-01
1501,6794.5,2019,2020-06-01
1502,8800.0,2019,2020-06-01
1502,8800.0,2047,2020-06-01
1503,6096.0,2019,2020-06-01
1504,8112.0,2047,2020-06-01
1504,8112.0,2019,2020-06-01
1505,7344.0,2019,2020-06-01
1506,155.0,2047,2020-06-01
1506,155.0,2019,2020-06-01
1507,7302.5,2019,2020-06-01
1508,7620.0,2019,2020-06-01
1509,10064.0,2019,2020-06-01
1510,6800.0,2019,2020-06-01
1511,6858.0,2019,2020-06-01
1512,66865.5,2006,2020-06-01
1513,20748.0,2013,2020-06-01
1514,19890.0,2013,2020-06-01
1515,7149.48,2005,2020-06-01
1516,13144.5,2014,2020-06-01
1517,70040.5,2014,2020-06-01
1518,14033.5,2013,2020-06-01
1519,2500.0,2048,2020-06-01
1519,2500.0,2005,2020-06-01
1520,13906.5,2013,2020-06-01
1521,17335.5,2014,2020-06-01
1522,18768.0,2014,2020-06-01
1523,6864.0,2019,2020-06-01
1523,6864.0,2047,2020-06-01
1524,20425.0,2018,2020-06-01
1525,15400.0,2018,2020-06-01
1526,40162.5,2050,2020-07-01
1526,40162.5,2020,2020-07-01
1527,36729.0,2013,2020-07-01
1527,36729.0,2033,2020-07-01
1528,9025.0,2019,2020-07-01
1529,9025.0,2019,2020-07-01
1530,960.0,2054,2020-07-01
1530,960.0,2003,2020-07-01
1531,6545.0,2019,2020-07-01
1531,6545.0,2047,2020-07-01
1532,3780.0,2049,2020-07-01
1532,3780.0,2025,2020-07-01
1533,43380.0,2021,2020-07-01
1534,2285.0,2007,2020-07-01
1535,702.0,2003,2020-07-01
1536,847.0,2003,2020-07-01
1537,847.0,2003,2020-07-01
1538,847.0,2003,2020-07-01
1539,847.0,2003,2020-07-01
1540,8570.0,2014,2020-07-01
1541,980.0,2048,2020-07-01
1541,980.0,2005,2020-07-01
1542,5488.0,2020,2020-07-01
1543,5400.0,2006,2020-07-01
1544,9280.0,2020,2020-07-01
1545,7520.0,2059,2020-07-01
1545,7520.0,2020,2020-07-01
1546,4160.0,2020,2020-07-01
1547,8815.0,2015,2020-07-01
1548,29687.5,2020,2020-07-01
1548,29687.5,2050,2020-07-01
1549,880.0,2054,2020-07-01
1549,880.0,2003,2020-07-01
1550,880.0,2003,2020-07-01
1551,36026.0,2033,2020-07-01
1551,36026.0,2014,2020-07-01
1552,3000.0,2005,2020-07-01
1552,3000.0,2048,2020-07-01
1553,1280.0,2003,2020-07-01
